                 0_Information                       0_Value
              Cycle/chain mode                            CY
                   Degree type                      Indegree
                Execution date                    2025-01-13
                          File               KP_Num58_N35_A3
                        Folder          Kidney_Matching_35_3
              Max chain length                             9
              Max cycle length                             9
                    Time limit                            20
