0_Information;Cycle/chain mdoe;Degree type;Execution date;Input path;Max chain length;Max cycle length;Output path;Time limit
0_Value;CY;Indegree;2024-11-04;/Users/juliusmiers/CodingWS24/ORSeminar/instances/PrefLib/Kidney_Matching_16_0/KP_Num2_N16_A0.txt;6;6;/Users/juliusmiers/CodingWS24/ORSeminar/out/PrefLib/Kidney_Matching_16_0/KP_Num2_N16_A0.txt;15


 Step;                     Task;      File; Line;  Function;        Time(s);        Time(%);     Memory(GB);      Memory(%);         CPU(%);        Comment;
    0;          Read user input;  main.cpp;   45;      main;          0.000;          0.108;          0.031;          0.274;          1.000;               ;
    1;       Read instance file;  main.cpp;   54;      main;          0.001;          2.784;          0.203;          1.778;          1.000;               ;
    2;  Configure solution mode;  main.cpp;   79;      main;          0.000;          0.005;          0.203;          1.778;          1.000;               ;
    3;                Apply MDD;  main.cpp;   83;      main;          0.003;         13.980;          0.297;          2.599;          1.000;               ;
    4;             Apply BBTree;  main.cpp;   87;      main;          0.018;         82.850;          8.891;         77.839;          1.000;               ;
