                 0_Information                       0_Value
              Cycle/chain mode                            CY
                   Degree type                      Indegree
                Execution date                    2025-01-13
                          File            KP_Num134_N140_A12
                        Folder        Kidney_Matching_140_12
              Max chain length                             9
              Max cycle length                             9
                    Time limit                            20
