 Step;                               Task;                               File;      Line;                 Function;        Time(s);        Time(%);     Memory(GB);      Memory(%);         CPU(%);Comment;
   40;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0075;         0.0341;        14.9062;        35.0735;         0.0000;     ;
   41;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0077;         0.0347;        14.9844;        35.2574;         0.0000;     ;
   42;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0035;         0.0157;        14.9844;        35.2574;         0.0000;     ;
   43;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0074;         0.0332;        14.9844;        35.2574;         0.0000;     ;
   44;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0178;         0.0802;        15.5312;        36.5441;         0.0000;     ;
   45;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0071;         0.0321;        15.5469;        36.5809;         0.0000;     ;
   46;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0068;         0.0308;        15.5781;        36.6544;         0.0000;     ;
   47;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0064;         0.0290;        15.5938;        36.6912;         0.0000;     ;
   48;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0055;         0.0249;        15.6094;        36.7279;         0.0000;     ;
   49;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0056;         0.0252;        15.6094;        36.7279;         0.0000;     ;
   50;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0068;         0.0307;        15.6406;        36.8015;         0.0000;     ;
   51;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0041;         0.0185;        15.6406;        36.8015;         0.0000;     ;
   52;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0037;         0.0165;        15.6406;        36.8015;         0.0000;     ;
   53;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0047;         0.0212;        15.6406;        36.8015;         0.0000;     ;
   54;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0052;         0.0235;        15.6406;        36.8015;         0.0000;     ;
   55;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0061;         0.0273;        15.6562;        36.8382;         0.0000;     ;
   56;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0065;         0.0292;        15.7344;        37.0221;         0.0000;     ;
   57;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0041;         0.0184;        15.7344;        37.0221;         0.0000;     ;
   58;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0068;         0.0308;        15.7656;        37.0956;         0.0000;     ;
   59;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0054;         0.0244;        15.8281;        37.2426;         0.0000;     ;
   60;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0058;         0.0260;        15.8281;        37.2426;         0.0000;     ;
   61;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0066;         0.0298;        15.9219;        37.4632;         0.0000;     ;
   62;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0039;         0.0178;        15.9219;        37.4632;         0.0000;     ;
   63;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0092;         0.0414;        16.0469;        37.7574;         0.0000;     ;
   64;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0094;         0.0424;        16.2344;        38.1985;         0.0000;     ;
   65;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0049;         0.0223;        16.2344;        38.1985;         0.0000;     ;
   66;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0064;         0.0289;        16.2500;        38.2353;         0.0000;     ;
   67;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0040;         0.0182;        16.2500;        38.2353;         0.0000;     ;
   68;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0049;         0.0221;        16.2500;        38.2353;         0.0000;     ;
   69;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0047;         0.0212;        16.2500;        38.2353;         0.0000;     ;
   70;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0064;         0.0287;        16.2812;        38.3088;         0.0000;     ;
   71;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0049;         0.0220;        16.2812;        38.3088;         0.0000;     ;
